diagnosisId:ID,icdCode,icdVersion,icdTitle,:LABEL
d_I4891_10,I4891,10,Unspecified atrial fibrillation,Diagnosis
d_I959_10,I959,10,"Hypotension, unspecified",Diagnosis
d_Y832_10,Y832,10,"Surgical operation with anastomosis, bypass or graft as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",Diagnosis
d_K5190_10,K5190,10,"Ulcerative colitis, unspecified, without complications",Diagnosis
d_E119_10,E119,10,Type 2 diabetes mellitus without complications,Diagnosis
d_E785_10,E785,10,"Hyperlipidemia, unspecified",Diagnosis
d_J810_10,J810,10,Acute pulmonary edema,Diagnosis
d_I255_10,I255,10,Ischemic cardiomyopathy,Diagnosis
d_R0902_10,R0902,10,Hypoxemia,Diagnosis
d_G4700_10,G4700,10,"Insomnia, unspecified",Diagnosis
d_D62_10,D62,10,Acute posthemorrhagic anemia,Diagnosis
d_I2510_10,I2510,10,Atherosclerotic heart disease of native coronary artery without angina pectoris,Diagnosis
d_Z933_10,Z933,10,Colostomy status,Diagnosis
d_Y92230_10,Y92230,10,Patient room in hospital as the place of occurrence of the external cause,Diagnosis
d_I9789_10,I9789,10,"Other postprocedural complications and disorders of the circulatory system, not elsewhere classified",Diagnosis
d_7245_9,7245,9,"Backache, unspecified",Diagnosis
d_E8889_9,E8889,9,Unspecified fall,Diagnosis
d_6961_9,6961,9,Other psoriasis,Diagnosis
d_30390_9,30390,9,"Other and unspecified alcohol dependence, unspecified",Diagnosis
d_81201_9,81201,9,Closed fracture of surgical neck of humerus,Diagnosis
d_3453_9,3453,9,Grand mal status,Diagnosis
d_5855_9,5855,9,"Chronic kidney disease, Stage V",Diagnosis
d_85220_9,85220,9,"Subdural hemorrhage following injury without mention of open intracranial wound, unspecified state of consciousness",Diagnosis
d_78451_9,78451,9,Dysarthria,Diagnosis
d_V4365_9,V4365,9,Knee joint replacement,Diagnosis
d_7843_9,7843,9,Aphasia,Diagnosis
d_78830_9,78830,9,"Urinary incontinence, unspecified",Diagnosis
d_78194_9,78194,9,Facial weakness,Diagnosis
d_40391_9,40391,9,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",Diagnosis
d_E8490_9,E8490,9,Home accidents,Diagnosis
d_V173_9,V173,9,Family history of ischemic heart disease,Diagnosis
d_53550_9,53550,9,"Unspecified gastritis and gastroduodenitis, without mention of hemorrhage",Diagnosis
d_2127_9,2127,9,Benign neoplasm of heart,Diagnosis
d_V1272_9,V1272,9,Personal history of colonic polyps,Diagnosis
d_4556_9,4556,9,Unspecified hemorrhoids without mention of complication,Diagnosis
d_V1582_9,V1582,9,Personal history of tobacco use,Diagnosis
d_56210_9,56210,9,Diverticulosis of colon (without mention of hemorrhage),Diagnosis
d_G40909_10,G40909,10,"Epilepsy, unspecified, not intractable, without status epilepticus",Diagnosis
d_Z85850_10,Z85850,10,Personal history of malignant neoplasm of thyroid,Diagnosis
d_D1802_10,D1802,10,Hemangioma of intracranial structures,Diagnosis
d_80707_9,80707,9,Closed fracture of seven ribs,Diagnosis
d_E8809_9,E8809,9,Accidental fall on or from other stairs or steps,Diagnosis
d_30500_9,30500,9,"Alcohol abuse, unspecified",Diagnosis
d_8600_9,8600,9,Traumatic pneumothorax without mention of open wound into thorax,Diagnosis
d_49390_9,49390,9,"Asthma, unspecified type, unspecified",Diagnosis
d_E8798_9,E8798,9,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",Diagnosis
d_9962_9,9962,9,"Mechanical complication of nervous system device, implant, and graft",Diagnosis
d_9010_9,9010,9,Injury to thoracic aorta,Diagnosis
